question,label
so luong tin chi luan van,1
so luong tin chi luan van tot nghiep,1
so tin chi cua luan van,1
so tin chi cua luan van tot nghiep,1
tin chi luan van,1
tin chi luan van tot nghiep,1
luan van tuong duong bao nhieu tin chi,1
luan van tot nghiep tuong duong bao nhieu tin chi,1
luan van bang bao nhieu tin chi,1
luan van tot nghiep bang bao nhieu tin chi,1
sau khi hoan thanh luan van phai lam gi,2
sau khi hoan thanh luan van tot nghiep phai lam gi,2
thanh vien hoi dong bao ve,2
thanh vien hoi dong bao ve luan van,2
thanh vien hoi dong bao ve luan van tot nghiep,2
hoi dong bao ve bao gom nhung ai,2
hoi dong bao ve luan van bao gom nhung ai,2
hoi dong bao ve luan van tot nghiep bao gom nhung ai,2
hoi dong bao ve luan van tot nghiep,2
hoi dong bao ve,2
bao ve luan van,2
bao ve luan van tot nghiep,2
diem luan van,3
dien luan van tot nghiep,3
cach tinh diem luan van,3
cach tinh diem luan van tot nghiep,3
tinh diem luan van nhu the nao,3
tinh diem luan van tot nghiep nhu the nao,3
tinh diem luan van,3
tinh diem luan van tot nghiep,3
lam the nao de tinh diem luan van,3
lam the nao de tinh diem luan van tot nghiep,3
so luong tin chi tieu luan,4
so luong tin chi tieu luan tot nghiep,4
so tin chi cua tieu luan,4
so tin chi cua tieu luan tot nghiep,4
tin chi tieu luan,4
tin chi tieu luan tot nghiep,4
tieu luan tuong duong bao nhieu tin chi,4
tieu luan tot nghiep tuong duong bao nhieu tin chi,4
tieu luan bang bao nhieu tin chi,4
tieu luan tot nghiep bang bao nhieu tin chi,4
ai cham diem tieu luan,5
ai cham diem tieu luan tot nghiep,5
tieu luan do ai cham diem,5
tieu luan tot nghiep do ai cham diem,5
cham diem tieu luan,5
cham diem tieu luan tot nghiep,5
tieu luan co can phai bao ve truoc hoi dong khong,5
tieu luan tot nghiep co can phai bao ve truoc hoi dong khong,5
co can phai bao ve tieu luan truoc hoi dong khong,5
co can phai bao ve tieu luan tot nghiep truoc hoi dong khong,5
sinh vien co the khong lam luan van khong,6
